"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1"
1,"N(0.2,1)",RRWMH,2,4398.365983800922,4398.365983800922,0.17074932022360367,1.018748077089491,0.1751139195038306,-0.5030580747654292,0.8548360812812406
1,"N(0.2,1)",RRWMH,3,4792.4598278600915,4792.4598278600915,0.21609413332469068,1.0157163320465274,0.2239863941668624,-0.4656787396826795,0.9029801517896958
1,"N(0.2,1)",RRWMH,4,4624.238903244723,4624.238903244723,0.2075001789180515,1.000099527516606,0.2127435606775963,-0.46564211753147433,0.8686039006140149
1,"N(0.2,1)",RRWMH,5,4854.2022518457,4854.2022518457,0.19701846355341504,1.0141717174622589,0.1992249128978355,-0.47770739691974073,0.8787850077663376
1,"N(0.2,1)",RRWMH,6,4171.050191167615,4171.050191167615,0.18440204143187836,1.0102119881624894,0.18743458010551783,-0.4841344641084026,0.8640522639432733
1,"N(0.2,1)",RRWMH,7,4408.975502095116,4408.975502095116,0.1940864387382996,1.0290959614855528,0.20083661276418963,-0.49303041833334826,0.8844897541330894
1,"N(0.2,1)",RRWMH,8,4744.236400178317,4744.236400178317,0.20040590987800674,0.9727239658391341,0.2040243185017631,-0.4609304311041646,0.8714385449087957
1,"N(0.2,1)",RRWMH,9,4659.008526635366,4659.008526635366,0.20903526085770166,1.0024414295045803,0.20834133382629405,-0.4721207532711133,0.8880512350025971
1,"N(0.2,1)",RRWMH,10,4843.101454530113,4843.101454530113,0.20617078607506098,0.979188356782314,0.2157508734888529,-0.46307388900717505,0.8796444852646457
1,"N(0.2,1)",AM,1,4961.802110470351,4961.802110470351,0.19522054073004794,0.9796704919470093,0.1889431166005926,-0.47718320785496815,0.8527097988622523
1,"N(0.2,1)",AM,2,4532.472042382392,4532.472042382392,0.180456554611217,1.017296348738416,0.17874048267895426,-0.49209894247611335,0.8593605717885459
1,"N(0.2,1)",AM,3,4503.555973366561,4503.555973366561,0.1868804221314542,0.9818973232172888,0.18784898324953336,-0.47378919222366367,0.86145027840303
1,"N(0.2,1)",AM,4,4760.424988768622,4760.424988768622,0.1996032064781216,0.9895877528804189,0.2075293162433271,-0.46599514190962754,0.8808852736674836
1,"N(0.2,1)",AM,5,4857.366674728435,4857.366674728435,0.2180460559154761,1.0188223358357358,0.22488689058828698,-0.46625600676827733,0.8954715308900967
1,"N(0.2,1)",AM,6,4715.179803525468,4715.179803525468,0.218346400716153,1.0060493428300814,0.20651504233915996,-0.45790929637450106,0.9007805229546311
