"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1","ESS2","mean2","var2","median2","Q1_2","Q3_2"
2,"ρ=0.1",AM,6,4159.729629291294,4383.744304381222,1.993192611199563,0.24661884532469225,1.997505687725383,1.6594970695051756,2.3304006102558974,3935.7149542013676,3.0044284919424413,3.9710867592247165,3.0030275693052695,1.6795504760843254,4.321124651229871
2,"ρ=0.1",AM,7,3847.9645962606537,3807.7462250120907,1.9959859316942754,0.24954178755943923,1.998799835939057,1.6613860905507327,2.33630337170217,3888.1829675092167,2.9945914409964893,4.054665710817362,3.0124531857912356,1.6511109607272247,4.353064283597107
2,"ρ=0.1",AM,8,3849.0449964035397,3947.8798097717986,1.9989523907695468,0.24922804598512416,1.9962701853640568,1.6637499020636448,2.340770431021498,3750.2101830352804,3.0020838388703783,4.094007979867397,2.9952725975867636,1.65936464191874,4.364304067874697
2,"ρ=0.1",AM,9,4052.259786649469,4066.8253959434724,1.99251344387523,0.24559119435922083,1.998576924406649,1.6564154872112429,2.327319618215873,4037.6941773554654,2.9954412032326747,4.037230187211456,3.0067662458639406,1.6365692381481634,4.360072688339671
2,"ρ=0.1",AM,10,4141.726528751427,4075.063240678261,2.001589510880872,0.24441297949053542,1.9996962198671235,1.672917101396685,2.3331240430515736,4208.389816824594,3.010576875136726,3.9643140581021097,3.0042453292048883,1.6710190963000704,4.358913611940698
2,"ρ=-0.3",RRWMH,1,3738.597429829725,5751.580027863911,2.009202539372855,0.2465863510798023,2.010162483365483,1.6800364243454888,2.3430782991510055,1725.6148317955392,3.0095169454383544,3.8196038730825013,3.0143196354632207,1.667510260560946,4.322125429017255
2,"ρ=-0.3",RRWMH,2,3707.0700856697963,5629.427109993526,1.9980297807547125,0.24256475565152646,1.995882346028851,1.671574865711556,2.3320438252894786,1784.7130613460665,3.0454780304267315,3.8807217695637206,3.0374073080413715,1.6970241593722974,4.376863677600128
2,"ρ=-0.3",RRWMH,3,4019.4147279306535,6119.2601821750695,1.9964316826394766,0.24431934680687606,1.9988895959614268,1.6549202658773443,2.338570596170741,1919.569273686238,3.030305718396441,3.9860055521546887,3.00181185231552,1.6941484855299045,4.362136710836878
2,"ρ=-0.3",RRWMH,4,3996.2317137808586,6104.704686534403,2.0030694422202435,0.2540907038379068,2.0054677883007592,1.6673071017946932,2.3401538375948756,1887.758741027315,3.0018143377242863,4.1604320131027634,3.0319781973530766,1.619310081502758,4.377518269082183
2,"ρ=-0.3",RRWMH,5,3977.398590591596,6034.543315842679,2.0047683786240045,0.2525100133487337,2.000840129907037,1.6643768328477744,2.3472938939121093,1920.2538653405131,2.9840918355442327,4.037347821356287,3.002024157253345,1.6407785753794026,4.361242659572579
2,"ρ=-0.3",RRWMH,6,3993.566645651103,6206.338517155559,1.996504981338397,0.24277188977991182,1.9900719897731134,1.667024543959014,2.3292953504341725,1780.794774146647,2.935363475745863,3.9905182762333666,2.9438431736404964,1.6108321115531297,4.274544557011869
2,"ρ=-0.3",RRWMH,7,3638.9626094320447,5595.194078189409,2.0086019920493032,0.24890261904490352,2.0064586405130425,1.6750065856725942,2.3392762778992613,1682.7311406746799,2.9539803755445257,4.060398868046148,2.9395801351236583,1.5844711134177298,4.330143674115647
2,"ρ=-0.3",RRWMH,8,3703.000578862393,5555.90753540414,2.006364173756332,0.24876077703432653,2.007000646374105,1.6680071770839788,2.341477143448332,1850.093622320646,2.985361200372685,4.200373417766906,2.979998811940393,1.606992586830469,4.37120311676007
2,"ρ=-0.3",RRWMH,9,4099.1607915316345,6240.753252129745,2.003722425069212,0.2479458046382268,2.004535985108258,1.671283126598618,2.338017364869417,1957.5683309335234,2.93414520825599,3.856362955217227,2.956594289232529,1.6063394714473254,4.275137379266253
2,"ρ=-0.3",RRWMH,10,3883.315816824747,5895.069768525478,2.0091579107710493,0.24637015272171858,2.0016387137179903,1.6711654170920025,2.3446001444478175,1871.5618651240154,2.964441745466933,3.994905810444891,2.970491470330125,1.6362910656234497,4.313835610894467
2,"ρ=-0.3",AM,1,4013.1683242113863,4056.7125923652266,1.9982624150129316,0.2631128206029514,1.9964357821430538,1.6521120846007633,2.3448126901753956,3969.624056057546,3.002382482955339,4.063239215364419,2.979064432637081,1.6282339858648984,4.3613564311988355
2,"ρ=-0.3",AM,2,3860.5517823021273,4110.773199911174,2.0089410346346326,0.24573827336788145,2.0056156872492386,1.6760305920439058,2.3448387202428185,3610.3303646930813,2.929640269658942,3.9302340669108826,2.9375269470585885,1.6177388824242378,4.24609770275686
2,"ρ=-0.3",AM,3,4054.5614025696095,4166.357408604323,1.9964780768956591,0.2543465501664115,1.9941292826366301,1.654603040550184,2.3307081728574195,3942.765396534896,3.0532616953016816,3.952678709283582,3.0610753014526386,1.686392331756672,4.400539868929254
2,"ρ=-0.3",AM,4,4075.09297535812,4219.222354727623,2.0030724147605605,0.24598291656606097,1.9927727422365058,1.6683731852217258,2.337951924217237,3930.9635959886173,2.989421151528147,4.043351379569565,3.0059871868527153,1.6268173671492114,4.320636041668363
2,"ρ=-0.3",AM,5,4125.10062689957,4127.253375797186,2.0100344409904998,0.24999252974705222,2.0086680236061096,1.6759415387805343,2.347643294001896,4122.947878001954,3.0024179652157073,3.9642298057354353,3.001019312450761,1.673059717266682,4.34015954691642
2,"ρ=-0.3",AM,6,4121.096951368548,4287.432745950031,1.9954607341609154,0.24544280674804053,1.995626768188118,1.6617172991489906,2.333126043488182,3954.7611567870645,2.9939878486352316,4.036341166000563,2.980952377447673,1.6498485980045186,4.3412414818741905
